"area","order","sourceLabel","sourceDestination","stagingLabel","stagingDestination"
"primary","1","Home","/","Home","/"
"primary","2","Services","#","Services","#"
"primary","3","Blog","/blog/","Blog","/blog/"
"primary","4","About Us","/about-us/","About Us","/about-us/"
"primary","5","Contact Us","/contact-us/","Contact Us","/contact-us/"
"services","1","Aircond Installation KL","/aircond-installation-kl/","Aircond Installation KL","/aircond-installation-kl/"
"services","2","Electrical Services Selangor","/electrical-services-selangor/","Electrical Services Selangor","/electrical-services-selangor/"
"services","3","House Renovation in Kuala Lumpur","/house-renovation-in-kuala-lumpur/","House Renovation in Kuala Lumpur","/house-renovation-in-kuala-lumpur/"
"services","4","House Renovation in Selangor","/house-renovation-in-selangor/","House Renovation in Selangor","/house-renovation-in-selangor/"
"services","5","Office Renovation in Kuala Lumpur","/office-renovation-in-kuala-lumpur/","Office Renovation in Kuala Lumpur","/office-renovation-in-kuala-lumpur/"
"services","6","Plaster Ceiling Contractor KL","/plaster-ceiling-contractor-kl/","Plaster Ceiling Contractor KL","/plaster-ceiling-contractor-kl/"
"services","7","Servis Aircond Murah KL","/servis-aircond-murah-kl/","Servis Aircond Murah KL","/servis-aircond-murah-kl/"
"services","8","Servis Cuci Rumah KL","/servis-cuci-rumah-kl/","Servis Cuci Rumah KL","/servis-cuci-rumah-kl/"
"services","9","Upah Pasang Aircond Selangor","/upah-pasang-aircond-selangor/","Upah Pasang Aircond Selangor","/upah-pasang-aircond-selangor/"
"services","10","Waterproofing Contractor Kuala Lumpur","/waterproofing-contractor-kuala-lumpur/","Waterproofing Contractor Kuala Lumpur","/waterproofing-contractor-kuala-lumpur/"
